recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
White Chocolate and Wax Worm Cookies,0.0,['chocolate' 'vanilla'],0,1,/recipes/food/views/white-chocolate-and-wax-worm-cookies-51184820
Watermelon Granita with Blueberries,4.0,['blueberry' 'lime' 'mint'],100,1,/recipes/food/views/watermelon-granita-with-blueberries-51183410
Cheesecake Ice Cream with Strawberry Sauce,0.0,['chocolate' 'graham_cracker' 'lemon' 'strawberry' 'vanilla'],0,0,/recipes/food/views/cheesecake-ice-cream-with-strawberry-sauce-51183430
S'more Bites,4.0,['chocolate' 'graham_cracker' 'marshmallow'],100,2,/recipes/food/views/smore-bites-51183670
Peanut Butter Ice Cream with a Hard Chocolate Shell,4.0,['chocolate' 'peanut'],100,1,/recipes/food/views/peanut-butter-ice-cream-with-a-hard-chocolate-shell-51183420
Salted-Caramel Semifreddo with Hot Fudge,0.0,['caramel' 'chocolate'],0,0,/recipes/food/views/salted-caramel-semifreddo-with-hot-fudge-51183440
Ginger-Vanilla Fro Yo with Peach Compote,4.0,['cinnamon' 'ginger' 'honey' 'peach' 'vanilla'],20,5,/recipes/food/views/ginger-vanilla-fro-yo-with-peach-compote-51183450
Frozen Lemon Pie Pops,3.75,['lemon'],100,4,/recipes/food/views/frozen-lemon-pie-pops-51174800
Cheese- or Walnut-Filled Crepes (Atayef),4.0,['cinnamon' 'orange' 'peanut' 'pistachio' 'ricotta' 'rose' 'walnut'],0,0,/recipes/food/views/cheese-or-walnut-filled-crepes-em-atayef-em-51177810
Cardamom-Yogurt Mousse with Apricots,3.5,['apricot' 'cardamom' 'honey'],20,5,/recipes/food/views/cardamom-yogurt-mousse-with-apricots-51176600
Salted Caramel Risotto,3.0,['vanilla'],33,3,/recipes/food/views/salted-caramel-risotto-51176400
Lemonade Jelly with Basil,3.5,['basil' 'lemon' 'orange'],100,7,/recipes/food/views/lemonade-jelly-with-basil-51176800
Raspberry Fool with Toasted Angel Food Cake,4.0,['lime' 'raspberry'],100,5,/recipes/food/views/raspberry-fool-with-toasted-angel-food-cake-51178640
Ice Cream Sandwiches,3.5,['cocoa' 'vanilla'],100,2,/recipes/food/views/ice-cream-sandwiches-51178660
True Vanilla Ice Cream,3.56,['vanilla'],63,8,/recipes/food/views/true-vanilla-ice-cream-51179020
Cardamom Pound Cake,2.5,['almond' 'cardamom' 'plum' 'vanilla'],50,2,/recipes/food/views/cardamom-pound-cake-51179110
Tea-Poached Plums,3.0,['anise' 'cardamom' 'plum' 'vanilla'],100,2,/recipes/food/views/tea-poached-plums-51179120
Chocolate-Malt Ice Cream,4.0,['chocolate'],100,1,/recipes/food/views/chocolate-malt-ice-cream-51178810
Blackberry Borage Fool,0.0,['blackberry' 'ginger' 'lime'],67,3,/recipes/food/views/blackberry-borage-fool-51176200
Strawberry Pazzo Cake with Herbed Crème Fraîche,3.33,['basil' 'pepper' 'strawberry' 'vanilla'],67,3,/recipes/food/views/strawberry-pazzo-cake-with-herbed-creme-fraiche-51177400
Roasted Strawberries,0.0,['lemon' 'strawberry'],0,0,/recipes/food/views/roasted-strawberries-51177410
Plum Semifreddo,4.0,['cardamom' 'plum' 'vanilla'],100,3,/recipes/food/views/plum-semifreddo-51175060
Raspberry and Aperol Floats,4.0,['raspberry' 'thyme' 'vanilla'],0,0,/recipes/food/views/raspberry-and-aperol-floats-51175390
Cantaloupe Gazpacho,2.89,['cucumber' 'mint' 'pepper'],45,11,/recipes/food/views/cantaloupe-gazpacho-51175200
Roasted Strawberry–Buttermilk Sherbet,3.75,['strawberry' 'vanilla'],74,19,/recipes/food/views/roasted-strawberry-buttermilk-sherbet-51175070
Peaches in Lillet,3.29,['basil' 'peach'],88,8,/recipes/food/views/peaches-in-lillet-51175490
Blackberry Granita,3.67,['blackberry' 'lemon' 'mascarpone' 'vanilla'],100,4,/recipes/food/views/blackberry-granita-51175050
Peach-Cherry Lambic Charlotte,0.0,['cherry' 'honey' 'lemon' 'peach'],0,0,/recipes/food/views/peach-cherry-lambic-charlotte-51175010
Blueberry Hand Pies,3.44,['blueberry' 'lemon'],82,17,/recipes/food/views/blueberry-hand-pies-51175020
Cantaloupe in Pink Peppercorn Syrup,4.0,['bay_leaf' 'vanilla'],0,3,/recipes/food/views/cantaloupe-in-pink-peppercorn-syrup-51175410
Banana Pancakes with Pineapple and Crème Fraîche,2.0,['banana' 'lemon' 'pineapple'],0,0,/recipes/food/views/banana-pancakes-with-pineapple-and-creme-fraiche-51175120
Yogurt with Pistachio Brittle,0.0,['apricot' 'cashew' 'honey'],0,0,/recipes/food/views/yogurt-with-pistachio-brittle-51170850
Stuffed Dates,0.0,['almond' 'date' 'orange'],0,0,/recipes/food/views/stuffed-dates-51173800
Apple Crisp With Apple Skins,3.22,['apple' 'cinnamon' 'honey' 'nutmeg' 'oat' 'walnut'],71,7,/recipes/food/views/apple-crisp-with-apple-skins-51173610
Irish Coffee Pops,1.67,['coffee' 'vanilla' 'whiskey'],100,3,/recipes/food/views/irish-coffee-51173200
Blueberry Julep,2.0,['blueberry' 'mint'],100,1,/recipes/food/views/blueberry-julep-51172810
Vanilla Ice Cream Base,0.0,['vanilla'],0,0,/recipes/food/views/vanilla-ice-cream-base-51172800
Tropical Rainbow,0.0,['blueberry' 'mango' 'rum' 'strawberry' 'tequila'],0,0,/recipes/food/views/tropical-rainbow-51173000
Strawberry Jam Biscuits,4.0,['lime' 'strawberry' 'vanilla'],100,2,/recipes/food/views/strawberry-jam-biscuits-51170290
Tozzetti,4.0,['almond'],50,6,/recipes/food/views/tozzetti-51170360
Peaches with Lemon Verbena Cream,2.0,['lemon' 'peach'],0,1,/recipes/food/views/peaches-with-lemon-verbena-cream-51170250
July 4th Flag Cake,2.89,['blueberry' 'cocoa' 'coffee' 'raspberry' 'vanilla'],71,14,/recipes/food/views/july-4th-flag-cake-51170010
Berry and Tarragon Pavlova,3.33,['fennel' 'lemon' 'mascarpone' 'raspberry' 'strawberry' 'tarragon'],100,2,/recipes/food/views/berry-and-tarragon-pavlova-51170310
Moroccan Tea Biscuits,4.0,['almond' 'anise' 'vanilla'],100,1,/recipes/food/views/moroccan-tea-biscuits-51169800
Cherry and Plum Bruschetta,3.43,['cherry' 'plum' 'ricotta' 'vanilla'],86,7,/recipes/food/views/cherry-and-plum-bruschetta-51169500
Little Apricot Cakes,3.45,['apricot' 'lemon' 'vanilla'],84,23,/recipes/food/views/little-apricot-cakes-51169620
Goat Cheese Cake with Mixed Berries,3.82,['lemon' 'raspberry' 'vanilla'],88,8,/recipes/food/views/goat-cheese-cake-with-mixed-berries-51169420
Classic Chocolate Egg Cream,2.17,['chocolate'],71,8,/recipes/food/views/classic-chocolate-egg-cream-51164610
Hot Mead,3.0,['cinnamon' 'clove' 'honey' 'nutmeg' 'orange' 'vanilla' 'vodka'],0,1,/recipes/food/views/hot-mead-51165000
Green-Tea Truffles,3.0,['chocolate' 'matcha' 'vanilla'],75,10,/recipes/food/views/green-tea-truffles-51162200
Malt Chocolate Doughnuts,3.5,['chocolate' 'honey'],100,4,/recipes/food/views/malt-chocolate-doughnuts-51162000
Milk Chocolate Cup-of-Fluffs,4.0,['almond' 'chocolate' 'coconut' 'vanilla'],100,1,/recipes/food/views/milk-chocolate-cup-of-fluffs-51161610
Popcorn Crunch Sundae,4.0,['chocolate' 'cocoa' 'peanut' 'vanilla'],0,0,/recipes/food/views/popcorn-crunch-sundae-51160810
Buttermilk Panna Cotta with Rhubarb-Strawberry Jelly,4.0,['rhubarb' 'strawberry' 'vanilla'],100,3,/recipes/food/views/buttermilk-panna-cotta-with-rhubarb-strawberry-jelly-51161400
Thiebaud Pink Cake,2.75,['lemon' 'raspberry' 'rose' 'strawberry' 'vanilla'],71,19,/recipes/food/views/thiebaud-pink-cake-51159640
Woodman Cheese and Crackers,0.0,['lemon'],0,0,/recipes/food/views/woodman-cheese-and-crackers-51159410
Kelly Fudge Pop,0.0,['chocolate' 'cocoa' 'vanilla'],0,0,/recipes/food/views/kelly-fudge-pop-51159400
Classic Glazed Doughnuts,3.67,['chocolate' 'vanilla'],80,20,/recipes/food/views/classic-glazed-doughnuts-51160200
Linda's Lemon Drizzle Cake,3.0,['lemon'],80,5,/recipes/food/views/lindas-lemon-drizzle-cake-51159200
Baked Cake Doughnuts,3.79,['nutmeg' 'vanilla'],85,13,/recipes/food/views/baked-cake-doughnuts-51157010
Basic Cake Doughnuts,3.0,['nutmeg' 'vanilla'],100,2,/recipes/food/views/basic-cake-doughnuts-51157000
Basic Sugar Glaze,4.0,['vanilla'],100,4,/recipes/food/views/basic-sugar-glaze-51157020
Sour Cherry Crumble,3.56,['almond' 'cherry' 'lemon' 'ricotta' 'vanilla'],56,10,/recipes/food/views/sour-cherry-crumble-51157620
Brownies with Salted Caramel Sauce,3.7,['chocolate' 'cocoa' 'vanilla'],100,6,/recipes/food/views/brownies-with-salted-caramel-sauce-51155200
Rhubarb Shortcakes,3.38,['rhubarb' 'vanilla'],86,8,/recipes/food/views/-rhubarb-shortcakes-51155450
Slice-and-Bake Oatmeal Raisin Cookies,3.13,['nutmeg' 'oat' 'raisin' 'vanilla'],50,5,/recipes/food/views/slice-and-bake-oatmeal-raisin-cookies-51155400
Easy Passover Cakes,0.0,['vanilla'],100,2,/recipes/food/views/easy-passover-cakes-51153800
Lemony Strawberry-Rhubarb Cobbler,0.0,['lemon' 'orange' 'rhubarb' 'strawberry' 'vanilla'],0,0,/recipes/food/views/lemony-strawberry-rhubarb-cobbler-51152200
Insanely Good Chocolate Brownies,3.4,['almond' 'chocolate' 'cinnamon' 'cocoa' 'maple' 'vanilla' 'walnut'],63,8,/recipes/food/views/insanely-good-chocolate-brownies-51151000
Dark-Chocolate Cherry Brownies,2.75,['cherry' 'chocolate' 'cocoa' 'coffee' 'oat' 'vanilla'],40,5,/recipes/food/views/dark-chocolate-cherry-brownies-51150420
Oatmeal Cookies with Dried Cherries,2.0,['cherry' 'cinnamon' 'oat' 'vanilla'],0,3,/recipes/food/views/oatmeal-cookies-with-dried-cherries-51150230
Chinese Butter Cookies,4.0,['vanilla'],100,1,/recipes/food/views/chinese-butter-cookies-51149800
Lemon-Buttermilk Bundt Cake,3.17,['lemon' 'peach'],68,41,/recipes/food/views/lemon-buttermilk-bundt-cake-51147520
Fallen Chocolate Cake,3.92,['chocolate' 'cocoa' 'mascarpone' 'vanilla'],92,61,/recipes/food/views/fallen-chocolate-cake-51149240
Lime-in-the-Coconut Macaroons,2.93,['coconut' 'lime'],69,17,/recipes/food/views/lime-in-the-coconut-macaroons-51147500
Bourbon-Butterscotch Pudding,3.2,['vanilla'],73,11,/recipes/food/views/bourbon-butterscotch-pudding-51147530
Raspberry-Hazelnut Galette,2.83,['hazelnut' 'lime' 'raspberry' 'vanilla'],60,5,/recipes/food/views/raspberry-hazelnut-galette-51149250
Marmalade Ice Cream,4.0,['orange' 'vanilla'],100,2,/recipes/food/views/marmalade-ice-cream-51149280
Brown Sugar Banana Parfaits With Maple-Glazed Pecans,4.0,['banana' 'maple' 'pecan' 'vanilla' 'whiskey'],100,2,/recipes/food/views/brown-sugar-banana-parfaits-with-maple-glazed-pecans-51149260
Apple and Blackberry Polenta Cobbler,3.5700000000000003,['apple' 'blackberry' 'honey' 'lemon'],75,7,/recipes/food/views/apple-and-blackberry-polenta-cobbler-51149230
Mint Chocolate Chip Pancakes,3.7,['chocolate' 'mint' 'vanilla'],83,6,/recipes/food/views/mint-chocolate-chip-pancakes-51147000
Tiny Fried Apple Pies,0.0,['allspice' 'apple' 'cinnamon' 'lemon' 'nutmeg' 'vanilla'],0,2,/recipes/food/views/tiny-fried-apple-pies-51145810
Dark Chocolate Pie with Cocoa Nib Praline,3.76,['chocolate' 'cocoa' 'pecan' 'vanilla'],95,21,/recipes/food/views/dark-chocolate-pie-with-cocoa-nib-praline-233725
Sweet Potato Cupcakes,3.75,['cardamom' 'cinnamon' 'clove' 'cranberry' 'oat' 'vanilla'],100,6,/recipes/food/views/sweet-potato-cupcakes-51144460
"Charred Pear Sorbet with Goat Cheese ""Snow""",0.0,['pear'],0,0,/recipes/food/views/charred-pear-sorbet-with-goat-cheese-snow-51143880
Calvados Omelet,0.0,['brandy' 'vanilla'],0,0,/recipes/food/views/calvados-omelet-51143010
Tiramisu Yule Log,3.87,['brandy' 'chocolate' 'cinnamon' 'cocoa' 'coffee' 'mascarpone' 'vanilla'],100,16,/recipes/food/views/tiramisu-yule-log-51142210
Pistachio Cranberry Oatmeal Icebox Cookies,4.0,['chocolate' 'cinnamon' 'cranberry' 'nutmeg' 'oat' 'pistachio' 'vanilla'],75,4,/recipes/food/views/pistachio-cranberry-oatmeal-icebox-cookies-51142240
Cremini Meringue Mushrooms,4.0,['chocolate' 'cocoa' 'vanilla'],100,1,/recipes/food/views/cremini-meringue-mushrooms-51142220
Stage Planks,4.0,['cinnamon' 'clove' 'ginger'],100,2,/recipes/food/views/stage-planks-51142610
Coconut Macaroon Sandwiches with Lime Curd,3.83,['almond' 'coconut' 'lime'],40,5,/recipes/food/views/coconut-macaroon-sandwiches-with-lime-curd-51142230
Lemon-Honey Tart with Salted Shortbread Crust,3.31,['honey' 'lemon'],82,24,/recipes/food/views/lemon-honey-tart-with-salted-shortbread-crust-51140700
Salted Pistachio Brittle,4.0,['pistachio'],100,7,/recipes/food/views/salted-pistachio-brittle-51140710
Winter Shortcakes,0.0,['fig' 'orange' 'strawberry'],0,0,/recipes/food/views/winter-shortcakes-51140250
Almond Bread Pudding with Salted Caramel Sauce,3.8,['almond' 'vanilla'],100,6,/recipes/food/views/almond-bread-pudding-with-salted-caramel-sauce-51140830
Salty Chocolate Chunk Cookies,3.48,['chocolate' 'vanilla'],80,43,/recipes/food/views/salty-chocolate-chunk-cookies-51140720
Burnt Caramel Pudding,4.0,['vanilla'],100,7,/recipes/food/views/burnt-caramel-pudding-51139800
Favorite Bread and Butter Pudding with Bourbon Sauce,4.0,['cinnamon' 'lemon' 'nutmeg' 'raisin' 'vanilla'],0,0,/recipes/food/views/favorite-bread-and-butter-pudding-with-bourbon-sauce-51139210
Apple Crostata with Spiced Caramel Sauce,2.67,['apple' 'apricot' 'cinnamon' 'lemon' 'pumpkin' 'vanilla'],50,4,/recipes/food/views/apple-crostata-with-spiced-caramel-sauce-51138040
Chocolate-Covered Pumpkin Cheesecake Pops,3.4,['chocolate' 'graham_cracker' 'pumpkin' 'vanilla'],100,4,/recipes/food/views/chocolate-covered-pumpkin-cheesecake-pops-51137470
Chile-Ginger-Mint Jellies,4.0,['ginger' 'mint'],100,1,/recipes/food/views/chile-ginger-mint-jellies-51137430
Sufganiyot (Jelly Doughnuts),0.0,['raspberry'],0,0,/recipes/food/views/sufganiyot-jelly-doughnuts-51133810
Spritz Cookies,0.0,['chocolate' 'vanilla'],100,1,/recipes/food/views/spritz-cookies-51134200
Better Than Nutella (Chocolate-Hazelnut Spread),3.19,['chocolate' 'hazelnut'],80,17,/recipes/food/views/better-than-nutella-chocolate-hazelnut-spread-51134600
Spiced Palmiers,3.75,['allspice' 'cardamom' 'cinnamon' 'clove'],60,5,/recipes/food/views/spiced-palmiers-51134460
Tuckers,3.0,['coconut' 'rose' 'vanilla'],67,3,/recipes/food/views/tuckers-51135000
Crunch Bars,3.23,['chocolate' 'coconut' 'vanilla'],63,8,/recipes/food/views/crunch-bars-51135030
Pecan Sandies for My Mom,1.67,['pecan'],44,11,/recipes/food/views/pecan-sandies-for-my-mom-51133200
Hot-Cocoa Affogato with Peppermint Ice Cream,3.9,['chocolate' 'cocoa' 'coffee' 'mint' 'vanilla'],100,6,/recipes/food/views/hot-cocoa-affogato-with-peppermint-ice-cream-51134450
"""An Apple a Day""",3.5,['almond' 'apple' 'apricot' 'brandy' 'ginger' 'lemon' 'vanilla'],67,3,/recipes/food/views/-an-apple-a-day-51133430
Speculoos Buttons,3.37,['cinnamon' 'clove' 'ginger' 'nutmeg' 'vanilla'],90,11,/recipes/food/views/speculoos-buttons-51135050
Yarnall Family's Fyrstekake (Norwegian Cardamom-Almond Tart),3.67,['almond' 'cardamom' 'nutmeg' 'vanilla'],86,14,/recipes/food/views/yarnall-familys-fyrstekake-norwegian-cardamom-almond-tart-51135090
Merveilles,0.0,['cinnamon' 'orange' 'rum' 'vanilla'],0,0,/recipes/food/views/merveilles-51135040
Beurre & Sel Jammers,3.69,['blackberry' 'vanilla'],94,17,/recipes/food/views/beurre-sel-jammers-51135020
Orange and Yogurt Parfaits with Red Wine Caramel,0.0,['anise' 'mint' 'orange' 'pistachio'],0,0,/recipes/food/views/orange-and-yogurt-parfaits-with-red-wine-caramel-51134030
Cocoa Brownies,3.47,['cocoa' 'vanilla'],87,39,/recipes/food/views/cocoa-brownies-51134540
"Peanut Butter Sandwich Cookies, aka ""The Nora Ephron""",3.39,['honey' 'oat' 'peanut' 'vanilla'],83,25,/recipes/food/views/peanut-butter-sandwich-cookies-aka-the-nora-ephron-51129000
Bacon-Fat Gingersnaps,3.88,['cinnamon' 'clove' 'ginger'],83,6,/recipes/food/views/bacon-fat-gingersnaps-51128400
Rugelach Three Ways,0.0,['apricot' 'chocolate' 'cinnamon' 'orange' 'pecan'],0,0,/recipes/food/views/rugelach-three-ways-51128200
1-2-3-4 cake,3.67,['lemon' 'orange' 'vanilla'],75,4,/recipes/food/views/1-2-3-4-cake-51128010
Coconut Doughnuts,0.0,['almond' 'coconut' 'lemon'],100,2,/recipes/food/views/coconut-doughnuts-51126410
Puerto Rican Pineapple Rum Cake,2.69,['pecan' 'pineapple' 'rum' 'vanilla'],89,11,/recipes/food/views/puerto-rican-pineapple-rum-cake-51126900
Florida Ambrosia Salad,3.0,['apple' 'coconut' 'orange' 'pineapple' 'pomegranate'],0,1,/recipes/food/views/florida-ambrosia-salad-51126830
Black Forest Cake,3.73,['cherry' 'chocolate' 'cocoa' 'vanilla'],92,14,/recipes/food/views/black-forest-cake-51125600
Salted Rye Cookies,3.8,['orange'],100,3,/recipes/food/views/salted-rye-cookies-51123200
Snack Cake Crème,2.0,['coconut' 'vanilla'],100,2,/recipes/food/views/snack-cake-creme-51123170
Mini Cake Doughnuts,3.67,['chocolate' 'nutmeg' 'vanilla'],100,2,/recipes/food/views/mini-cake-doughnuts-51123670
Vanilla Snack Cakes,3.5,['honey' 'vanilla'],100,4,/recipes/food/views/vanilla-snack-cakes-51123660
Greek Yogurt Cheesecake with Pomegranate Syrup,3.36,['graham_cracker' 'lemon' 'pomegranate' 'vanilla'],86,8,/recipes/food/views/greek-yogurt-cheesecake-with-pomegranate-syrup-51123080
Brown Butter Apple Tart,3.54,['apple' 'vanilla'],100,10,/recipes/food/views/brown-butter-apple-tart-51123090
Spiced Bundt Cake with Apple Caramel Sauce,3.33,"['allspice' 'almond' 'apple' 'cinnamon' 'clove' 'ginger' 'lemon' 'nutmeg'
 'pepper' 'vanilla']",88,8,/recipes/food/views/spiced-bundt-cake-with-apple-caramel-sauce-51124280
Cranberry Hand Pies,3.1,['cranberry' 'orange' 'vanilla'],75,8,/recipes/food/views/cranberry-hand-pies-51123100
Inside-Out Apple Pie à la Mode,3.28,['apple' 'cinnamon' 'oat' 'pecan' 'vanilla'],89,11,/recipes/food/views/inside-out-apple-pie-a-la-mode-51120410
Pecan and Chocolate Tart with Bourbon Whipped Crème Fraîche,3.53,['chocolate' 'pecan' 'vanilla'],83,9,/recipes/food/views/pecan-and-chocolate-tart-with-bourbon-whipped-creme-fraiche-51123160
Quick Double-Chocolate Sheet Cake,1.0,['cocoa' 'raspberry'],0,1,/recipes/food/views/quick-double-chocolate-sheet-cake-51119000
Grandma's Pumpkin Pie,3.44,['cinnamon' 'ginger' 'maple' 'pumpkin'],50,5,/recipes/food/views/grandmas-pumpkin-pie-51122220
Concord Grape Cornmeal Cake,3.67,['grape' 'honey' 'lemon' 'vanilla'],100,5,/recipes/food/views/concord-grape-cornmeal-cake-51122620
Cranberry Shortbread,4.0,['cranberry'],100,3,/recipes/food/views/cranberry-shortbread-51122650
Mocha,3.0,['chocolate'],0,1,/recipes/food/views/mocha-51119410
Ganache For Hot Chocolate and Mochas,0.0,['chocolate'],100,1,/recipes/food/views/ganache-for-hot-chocolate-and-mochas-51119220
Pumpkin Turnovers,2.75,['cinnamon' 'clove' 'orange'],100,3,/recipes/food/views/pumpkin-turnovers-51119020
Plum and Polenta Cake,3.67,['lemon' 'plum' 'vanilla'],88,21,/recipes/food/views/plum-and-polenta-cake-51119620
English Eccles Cake,3.5,['allspice' 'cinnamon' 'nutmeg'],100,2,/recipes/food/views/english-eccles-cake-51118410
Mint Chip Ice Cream Cake,3.4,['chocolate' 'vanilla'],50,6,/recipes/food/views/mint-chip-ice-cream-cake-51118080
Yellow Layer Cake with Chocolate-Sour Cream Frosting,3.55,['chocolate' 'vanilla'],81,21,/recipes/food/views/yellow-layer-cake-with-chocolate-sour-cream-frosting-51118090
The Tomboy Cake,2.8,['almond' 'lemon' 'strawberry' 'vanilla'],40,8,/recipes/food/views/the-tomboy-cake-51118060
Banana-Chocolate Chip Cake With Peanut Butter Frosting,3.45,['banana' 'chocolate' 'peanut' 'vanilla'],83,34,/recipes/food/views/banana-chocolate-chip-cake-with-peanut-butter-frosting-51117350
Sweet Preserved Pumpkin,4.0,['lime' 'pumpkin'],100,1,/recipes/food/views/sweet-preserved-pumpkin-51116800
Pecan Praline Semifreddo with Bourbon Caramel,3.5,['pecan'],50,3,/recipes/food/views/pecan-praline-semifreddo-with-bourbon-caramel-51116410
Thai Tea Pudding with Lime Caramel and Candied Cashews,3.5,['caramel' 'cashew' 'lime'],50,2,/recipes/food/views/thai-tea-pudding-with-lime-caramel-and-candied-cashews-51112740
Lime Whipped Cream,0.0,['lime'],0,0,/recipes/food/views/lime-whipped-cream-51112710
Lime Caramel,0.0,['lime'],0,0,/recipes/food/views/lime-caramel-51112730
Strawberry Cheesecake Milkshake,1.0,['lemon' 'strawberry' 'vanilla'],0,1,/recipes/food/views/strawberry-cheesecake-milkshake-51112440
The Pink Cake,3.71,['chocolate' 'cocoa' 'raspberry' 'vanilla'],92,13,/recipes/food/views/the-pink-cake-51112010
Caramel Chocolate Ganache,4.0,['chocolate' 'lemon'],100,3,/recipes/food/views/caramel-chocolate-ganache-51112000
Jam Cake with Caramel Chocolate Ganache,0.0,['almond' 'apricot' 'chocolate' 'cinnamon' 'clove' 'nutmeg'],100,2,/recipes/food/views/jam-cake-with-caramel-chocolate-ganache-51111800
Honeydew Lime Popsicles,3.6,['lime'],60,6,/recipes/food/views/honeydew-lime-popsicles-109662
Italian Buttercream,2.75,['vanilla'],100,2,/recipes/food/views/italian-buttercream-51113210
French Vanilla Ice Cream,4.0,['vanilla'],100,5,/recipes/food/views/french-vanilla-ice-cream-51113430
Lemon Buttermilk Cake,3.64,['lemon'],94,34,/recipes/food/views/lemon-buttermilk-cake-51113420
Yellow Butter Cake,2.0,['vanilla'],0,1,/recipes/food/views/yellow-butter-cake-51113030
Crème Brûlée,3.6,['vanilla'],84,27,/recipes/food/views/creme-brulee-51113040
Berry Cobbler,3.5,['strawberry'],71,7,/recipes/food/views/berry-cobbler-51113020
Chocolate Chunk Cookies,3.67,['chocolate' 'vanilla'],0,0,/recipes/food/views/chocolate-chunk-cookies-51113000
Fruit Crisp,3.89,['cherry' 'lemon' 'oat' 'walnut'],80,6,/recipes/food/views/fruit-crisp-51113410
Molten Chocolate Cake,4.0,['chocolate'],80,6,/recipes/food/views/molten-chocolate-cake-51113450
Devil's Fudge Icing,3.5,['cocoa' 'vanilla'],100,3,/recipes/food/views/devils-fudge-icing-51113220
Classic Tiramisu,3.0,['cocoa' 'coffee' 'mascarpone' 'rum'],70,10,/recipes/food/views/classic-tiramisu-51112660
Tres Leches Cake,4.0,['cinnamon' 'rum' 'vanilla'],100,1,/recipes/food/views/tres-leches-cake-recipe
Persian Cream Puffs (Noon'e Chamei),3.4,['cardamom' 'honey' 'rose' 'saffron'],100,9,/recipes/food/views/persian-cream-puffs-em-noone-chamei-em-51110000
Chocolate-Apricot Pie,1.0,['apricot' 'chocolate' 'vanilla'],0,1,/recipes/food/views/chocolate-apricot-pie-51109200
Pistachio-Cherry Crumble,3.41,['cardamom' 'cherry' 'lemon' 'oat' 'pistachio' 'walnut'],100,18,/recipes/food/views/pistachio-cherry-crumble-51108810
"Berry, Coconut and Meringue Pie",2.0,['blueberry' 'coconut' 'lime'],33,3,/recipes/food/views/berry-coconut-and-meringue-pie-51109000
Summer-Fruit Cobbler,3.5,['lemon' 'raspberry'],100,2,/recipes/food/views/summer-fruit-cobbler-51109210
Strawberry-Chocolate Freezer Pie,2.67,['chocolate' 'strawberry'],80,18,/recipes/food/views/strawberry-chocolate-freezer-pie-51109230
"Almond, Plum and Peach Pie",1.0,['almond' 'cinnamon' 'lemon' 'peach' 'plum'],50,3,/recipes/food/views/almond-plum-and-peach-pie-51108800
Spiced Blueberry Grunt,2.47,['blueberry' 'clove' 'lemon' 'nutmeg' 'vanilla'],50,15,/recipes/food/views/spiced-blueberry-grunt-235363
Plum and Mascarpone Pie,3.2,['honey' 'lemon' 'mascarpone' 'plum' 'vanilla'],86,7,/recipes/food/views/plum-and-mascarpone-pie-51108270
Peach Melba with Burnt Caramel Sauce,3.0,['peach' 'raspberry' 'vanilla'],50,2,/recipes/food/views/peach-melba-with-burnt-caramel-sauce-51108610
Blueberry-Drop Biscuit Cobbler,3.8,['blueberry' 'lemon'],92,26,/recipes/food/views/blueberry-drop-biscuit-cobbler-51108250
Mile-High Chocolate Pie,3.5,['chocolate'],82,11,/recipes/food/views/mile-high-chocolate-pie-51108450
Cherry-Bourbon Pie,3.7,['almond' 'cherry' 'oat' 'orange'],95,23,/recipes/food/views/cherry-bourbon-pie-51108280
Coconut-Corn Ice Cream with Brown-Sugar Syrup and Peanuts,3.33,['coconut' 'lime' 'peanut'],67,3,/recipes/food/views/coconut-corn-ice-cream-with-brown-sugar-syrup-and-peanuts-51108100
Red Berry Sauce,4.0,['raspberry' 'strawberry'],100,1,/recipes/food/views/red-berry-sauce-51107890
The Ultimate Brownie Sundae,0.0,['chocolate' 'coffee' 'marshmallow'],0,0,/recipes/food/views/the-ultimate-brownie-sundae-51107870
Warm Chocolate Fudge Sauce,0.0,['chocolate'],0,0,/recipes/food/views/warm-chocolate-fudge-sauce-51107900
Frozen Chocolate-Dipped Bananas with Peanut Brittle,2.0,['banana' 'chocolate' 'peanut'],0,2,/recipes/food/views/frozen-chocolate-dipped-bananas-with-peanut-brittle-51107830
Honey-Lemon Custard with Fruit,3.83,['honey' 'lemon' 'mango' 'rum' 'vanilla'],100,4,/recipes/food/views/honey-lemon-custard-with-fruit-51104290
Rose Petal and Pistachio Raspberry Custard,0.0,['pistachio' 'raspberry' 'rose' 'vanilla'],0,0,/recipes/food/views/rose-petal-and-pistachio-raspberry-custard-51104880
Oatmeal Cookie,0.0,['oatmeal'],0,0,/recipes/food/views/oatmeal-cookie-51103800
"Peanut Butter, Chocolate and Banana FroYo",0.0,['banana' 'cinnamon' 'peanut' 'vanilla'],0,0,/recipes/food/views/peanut-butter-chocolate-and-banana-froyo-51104870
Chocolate Semifreddo with Chile-Chocolate Sauce,3.2,['almond' 'anise' 'chocolate' 'cinnamon' 'tequila' 'vanilla'],67,3,/recipes/food/views/chocolate-semifreddo-with-chile-chocolate-sauce-51104810
Strawberry-Hibiscus Granita,3.0,['basil' 'hibiscus' 'lime' 'strawberry'],100,3,/recipes/food/views/strawberry-hibiscus-granita-51104690
Apricot Rice Pudding Pops,3.0,['apricot' 'coconut' 'ginger' 'lemongrass' 'vanilla'],67,3,/recipes/food/views/apricot-rice-pudding-pops-51104480
