recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
Chocolate Satin,3.5700000000000003,['chocolate' 'vanilla'],93,14,/recipes/food/views/chocolate-satin
Ginger and Almond Bars,4.0,['almond' 'ginger' 'honey' 'vanilla'],100,2,/recipes/food/views/ginger-and-almond-bars
Black and White Croissant Bread Pudding,0.0,['chocolate' 'vanilla'],0,0,/recipes/food/views/black-and-white-croissant-bread-pudding
Pressure-Cooker Espresso and Toasted Almond Flan,0.0,['almond' 'vanilla'],0,0,/recipes/food/views/pressure-cooker-espresso-and-toasted-almond-flan
Homemade Sprinkles,3.0,['lemon' 'raspberry'],75,4,/recipes/food/views/homemade-sprinkles
Mirror Cake Glaze,3.0,['chocolate' 'vanilla'],63,8,/recipes/food/views/mirror-cake-glaze
Quick Raspberry Charlotte,2.83,['brandy' 'lemon' 'raspberry' 'vanilla'],70,10,/recipes/food/views/quick-raspberry-charlotte-241747
Flourless Cacao Fudge Cake,3.75,['almond'],75,4,/recipes/food/views/flourless-cacao-fudge-cake
Babee’s Strawberry Shortbread Valentine’s Cookies,0.0,['orange' 'strawberry' 'vanilla'],0,0,/recipes/food/views/strawberry-shortbread-valentines-cookies
Brigadeiros,4.0,['cocoa' 'vanilla'],100,1,/recipes/food/views/brigadeiros
Strawberry Shortcake Cupcakes,0.0,['rum' 'strawberry' 'vanilla'],0,0,/recipes/food/views/strawberry-shortcake-cupcakes
Cinnamon–Chocolate Chunk Skillet Cookie,4.0,['chocolate' 'cinnamon' 'vanilla'],100,4,/recipes/food/views/cinnamon-chocolate-chunk-skillet-cookie
Double Chocolate Cupcakes With Salted Chia Pudding Frosting,2.0,['almond' 'apple' 'chocolate' 'cocoa' 'coconut' 'date' 'maple' 'vanilla'],100,1,/recipes/food/views/double-chocolate-cupcakes-with-salted-chia-pudding-frosting
Mandarin Orange Napoleons,3.67,['lemon' 'orange' 'vanilla'],100,9,/recipes/food/views/mandarin-orange-napoleons-231391
Simple Christmas Cookies,4.0,['cinnamon' 'ginger' 'nutmeg' 'vanilla'],100,2,/recipes/food/views/simple-christmas-cookies
